rank,ticker,discovery_score_0_100,promotion_eligible,gate_reasons,is_core_94,latest_date,data_fresh,market_date_context_valid,market_data_metadata_valid,data_source,market_timezone,source_report_generated_at_utc,data_timestamp,price_frequency,price_adjustment_policy,staleness_business_days,latest_price,history_rows,ret_20d_pct,ret_60d_pct,ret_120d_pct,alpha_60d_vs_qqq_pct,alpha_120d_vs_spy_pct,drawdown_52w_pct,volatility_60d_pct,avg_dollar_volume_20
11,SPY,65.0,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,754.95,5413,4.334593844022838,8.987478634156876,9.639940376864642,-6.556552002766303,0.0,-0.35487919181493854,13.11321690966778,43428610679.043396
12,TSM,65.0,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,434.11,5413,6.443977853232408,14.530458678873813,27.70508061188619,-1.013571958049365,18.065140235021545,-9.100236614527713,49.5364635302438,6345925362.425501
13,ASML,62.37,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,1797.32,5413,3.640316228325613,18.638973670092838,35.455448654789315,3.0949430331696597,25.81550827792467,-9.6569889013994,58.65130478860882,4001540800.606
14,VGT,60.13,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,118.08,5413,5.235843201017176,22.82161576239039,24.68080930698222,7.277585125467212,15.040868930117577,-6.0014739189716,29.64487836647361,542238058.7105563
15,QCOM,58.55,False,['volatility_too_high'],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,189.16,5413,-1.0669456066945582,42.9369398108308,18.415602677934118,27.392909173907622,8.775662301069476,-24.357648456415802,87.08431143121574,4134965121.561499
16,NVDA,58.42,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,210.96,5413,5.258956191996811,7.476055354920197,12.917695509127935,-8.067975282002982,3.2777551322632927,-10.409265980339931,40.572107553428125,29688496231.014
17,NXPI,58.29,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,292.26,4005,2.699185146177019,39.724519083091046,23.542600075446884,24.180488446167868,13.902659698582243,-11.844232090823247,73.25458357061132,1262456159.2666414
18,ON,55.26,False,['volatility_too_high'],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,95.96,5413,-12.89824816193157,33.18528799444829,59.19044459190444,17.64125735752511,49.550504215039794,-28.350630926603458,92.06293461162419,1482253047.9815001
19,AVGO,54.74,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,399.97,4257,7.668098814889124,5.213770599883771,17.031207512275405,-10.330260037039407,7.391267135410763,-16.806903318267953,53.948942372091324,11199254879.871376
20,META,52.11,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,669.21,3555,17.307434888569162,1.1037135242421225,7.983638609485011,-14.440317112681056,-1.656301767379631,-15.016925749813614,44.656828413501756,12004098925.166399
21,XLF,50.79,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,55.71,5413,7.03443528245602,7.964630258920247,3.3464048804979107,-7.579400378002932,-6.293535496366731,-0.7659422871392985,13.337646854457688,1923345869.6806583
22,GOOGL,50.0,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,357.18,5413,0.22447948818677954,7.355227544523157,7.470783029225436,-8.188803092400022,-2.1691573476392056,-11.23235606315951,34.77647797825454,12591295111.386002
23,AMZN,42.76,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,245.34,5413,3.0840336134453805,-1.4777929483575591,3.006129817784875,-17.02182358528074,-6.633810559079767,-10.782210262191349,28.242455004544613,14749514474.382004
24,GRID,42.63,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,184.83,4185,2.2447389325076283,2.3801250695406617,17.914070366027545,-13.163905567382518,8.274129989162903,-7.125136792530872,29.638885800804633,134600432.9041683
