date,strategy_value,regime,raw_regime_signal_same_day,execution_assumption,cash,cash_weight,QQQ_weight,SMH_weight,MSFT_weight,SPY_weight,tech_ai_concentration,semiconductor_exposure,MSFT_exposure
2005-01-03,19991.5042,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.150064,0.299978,0.249981,0.199985,0.099993,0.749944,0.249981,0.199985
2005-01-04,19749.1121,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.151906,0.298132,0.246783,0.203197,0.099983,0.748112,0.246783,0.203197
2005-01-05,19606.0469,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.153014,0.298449,0.244298,0.204222,0.100018,0.746968,0.244298,0.204222
2005-01-06,19559.3117,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.15338,0.297664,0.24371,0.20448,0.100766,0.745854,0.24371,0.20448
2005-01-07,19618.1256,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.15292,0.298342,0.24516,0.203258,0.10032,0.74676,0.24516,0.203258
2005-01-10,19634.6643,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.152791,0.297936,0.244487,0.204076,0.10071,0.746499,0.244487,0.204076
2005-01-11,19468.5914,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.154094,0.298364,0.241393,0.20528,0.100869,0.745037,0.241393,0.20528
2005-01-12,19633.648,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.152799,0.298338,0.244577,0.203935,0.100351,0.74685,0.244577,0.203935
2005-01-13,19386.2595,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.154749,0.298151,0.243679,0.202604,0.100817,0.744434,0.243679,0.202604
2005-01-14,19494.4887,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.15389,0.2993,0.245696,0.200329,0.100786,0.745324,0.245696,0.200329
2005-01-18,19611.7772,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.152969,0.299755,0.245395,0.200655,0.101225,0.745805,0.245395,0.200655
2005-01-19,19329.9437,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.1552,0.299099,0.243124,0.200951,0.101627,0.743174,0.243124,0.200951
2005-01-20,19172.3984,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.156475,0.295776,0.244245,0.201666,0.101838,0.741687,0.244245,0.201666
2005-01-21,19017.7921,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.157747,0.295785,0.242777,0.201655,0.102037,0.740216,0.242777,0.201655
2005-01-24,18857.0362,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.159092,0.29412,0.240552,0.203533,0.102704,0.738204,0.240552,0.203533
2005-01-25,19024.6806,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.15769,0.292965,0.242769,0.20449,0.102087,0.740223,0.242769,0.20449
2005-01-26,19207.3361,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.15619,0.293657,0.246267,0.202467,0.101419,0.742391,0.246267,0.202467
2005-01-27,19248.5759,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.155856,0.292633,0.247327,0.20281,0.101374,0.74277,0.247327,0.20281
2005-01-28,19219.4905,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.156092,0.291654,0.247065,0.203662,0.101528,0.742381,0.247065,0.203662
2005-01-31,19339.3107,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",3000.0,0.155124,0.293615,0.246561,0.203173,0.101526,0.74335,0.246561,0.203173
2005-02-01,19461.1897,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.151138,0.299998,0.248864,0.2,0.1,0.748862,0.248864,0.2
2005-02-02,19457.7134,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.151165,0.300532,0.247417,0.200566,0.10032,0.748514,0.247417,0.200566
2005-02-03,19302.2761,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.152383,0.299517,0.247193,0.200042,0.100865,0.746752,0.247193,0.200042
2005-02-04,19664.0959,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.149579,0.298723,0.254221,0.197411,0.100067,0.750355,0.254221,0.197411
2005-02-07,19615.3583,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.14995,0.298862,0.254308,0.196698,0.100182,0.749868,0.254308,0.196698
2005-02-08,19722.2209,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.149138,0.297763,0.257113,0.196231,0.099755,0.751107,0.257113,0.196231
2005-02-09,19483.5505,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.150965,0.296379,0.255087,0.197348,0.100221,0.748814,0.255087,0.197348
2005-02-10,19533.5328,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.150578,0.29594,0.25639,0.196767,0.100325,0.749097,0.25639,0.196767
2005-02-11,19798.3985,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.148564,0.296303,0.261834,0.193465,0.099834,0.751602,0.261834,0.193465
2005-02-14,19827.5947,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.148345,0.297193,0.261371,0.193477,0.099613,0.752042,0.261371,0.193477
2005-02-15,19901.5172,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.147794,0.298052,0.261782,0.192759,0.099613,0.752593,0.261782,0.192759
2005-02-16,19808.3837,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.148489,0.298353,0.260391,0.192619,0.100147,0.751363,0.260391,0.192619
2005-02-17,19614.355,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.149958,0.297259,0.258994,0.193469,0.10032,0.749722,0.258994,0.193469
2005-02-18,19588.4286,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.150156,0.296699,0.260117,0.192441,0.100587,0.749257,0.260117,0.192441
2005-02-22,19442.9293,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.15128,0.295238,0.261671,0.191979,0.099833,0.748887,0.261671,0.191979
2005-02-23,19423.5149,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.151431,0.295933,0.260044,0.191942,0.100649,0.74792,0.260044,0.191942
2005-02-24,19641.6768,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.149749,0.29637,0.262601,0.191091,0.100189,0.750061,0.262601,0.191091
2005-02-25,19779.9684,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.148702,0.29595,0.266017,0.188857,0.100473,0.750824,0.266017,0.188857
2005-02-28,19622.5662,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2941.3295,0.149895,0.295152,0.264647,0.189693,0.100612,0.749493,0.264647,0.189693
2005-03-01,19835.8238,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.149979,0.300003,0.249995,0.199998,0.100025,0.749996,0.249995,0.199998
2005-03-02,19758.6973,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.150564,0.301014,0.247436,0.20062,0.100366,0.74907,0.247436,0.20062
2005-03-03,19643.6302,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.151446,0.300281,0.246201,0.201076,0.100996,0.747558,0.246201,0.201076
2005-03-04,19714.537,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.150902,0.300966,0.245894,0.200353,0.101886,0.747212,0.245894,0.200353
2005-03-07,19936.3655,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.149223,0.301901,0.247591,0.200485,0.100802,0.749976,0.247591,0.200485
2005-03-08,19765.11,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.150516,0.301476,0.245048,0.201666,0.101294,0.74819,0.245048,0.201666
2005-03-09,19722.7359,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.150839,0.301242,0.246153,0.201383,0.100383,0.748778,0.246153,0.201383
2005-03-10,19793.6685,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.150298,0.299763,0.248079,0.201613,0.100247,0.749455,0.248079,0.201613
2005-03-11,19542.7697,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.152228,0.300779,0.2447,0.201471,0.100822,0.74695,0.2447,0.201471
2005-03-14,19596.4697,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.151811,0.301327,0.244611,0.201079,0.101172,0.747017,0.244611,0.201079
2005-03-15,19421.4553,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.153179,0.301599,0.242706,0.201275,0.101241,0.74558,0.242706,0.201275
2005-03-16,19239.4486,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.154628,0.300959,0.242187,0.200895,0.101331,0.744041,0.242187,0.200895
2005-03-17,19248.5525,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.154555,0.301597,0.242294,0.200067,0.101487,0.743958,0.242294,0.200067
2005-03-18,19135.1451,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.155471,0.301732,0.241644,0.199366,0.101787,0.742742,0.241644,0.199366
2005-03-21,19127.4247,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.155534,0.302432,0.24204,0.198544,0.10145,0.743017,0.24204,0.198544
2005-03-22,18940.874,warmup_base,warmup_base,"previous-day regime signal, current-day close execution",2974.9557,0.157065,0.301654,0.241113,0.19876,0.101408,0.741527,0.241113,0.19876
